obdb_id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
oban-bay-oban,Oban Bay,micro,60 George Street,,,Oban,,Argyll,PA34 5SD,http://obanbaybrewery.co.uk/,1631564492,10/23/2020,10/23/2020,Scotland,56.4146637,-5.4725942,
fyne-ales-cairndow,Fyne Ales,micro,Achadunan,,,Cairndow,,Argyll,PA26 8BJ,https://www.fyneales.com/,1499600120,10/23/2020,10/23/2020,Scotland,56.2761719,-4.9139856,
colonsay-ales-isle-of-colonsay,Colonsay Ales,micro,Colonsay Brewery,Dunoran,Scalasaig,Isle of Colonsay,,Argyll,PA61 7YZ,https://colonsaybrewery.co.uk/,1951200190,10/23/2020,10/23/2020,Scotland,56.0703454,-6.2600129,
loch-lomond-brewery-dumbarton,Loch Lomond Brewery,micro,Block 2 Unit 11,Vale of Leven Industrial Estate,,Dumbarton,,West Dunbartonshire,G82 3PD,https://www.lochlomondbrewery.com/,1389755698,10/15/2020,10/15/2020,Scotland,55.969774,-4.576255,
lennox-brewery-dumbarton,Lennox Brewery,micro,25 Lime Road,Broadmeadow Industrial Estate,,Dumbarton,,West Dunbartonshire,G82 2RP,https://www.lennoxbrewery.com/,1389298642,10/15/2020,10/15/2020,Scotland,55.9478947,-4.5708885,
jaw-brew-milngavie,Jaw Brew,micro,26 Crossveggate,,,Milngavie,,East Dunbartonshire,G62 6RA,https://www.jawbrew.co.uk/,7880690995,10/15/2020,10/15/2020,Scotland,55.9408943,-4.3131808,
late-night-hype-brewing-co-clydebank,Late Night Hype Brewing Co,micro,Unit 17,Andrew Court,South Douglas Streeet,Clydebank,,West Dunbartonshire,G81 1PD,http://www.latenighthypebrewing.com/,1412611278,10/15/2020,10/15/2020,Scotland,55.8959515,-4.4023283,
bute-brew-co-isle-of-bute,Bute Brew Co,closed,15-17 Columshill Street,Rothesay,,Isle of Bute,,Bute,PA20 0DN,http://butebrewco.co.uk/,1700504206,10/23/2020,10/23/2020,Scotland,55.835396,-5.058482,
islay-ales-isle-of-islay,Islay Ales,micro,Islay House Square,Bridgend,,Isle of Islay,,Argyll,PA44 7NZ,https://www.islayales.com/,1496810014,10/23/2020,10/23/2020,Scotland,55.7845598,-6.2511858,
mescan-brewery-kilsallagh,Mescan Brewery,micro,Cartoor,,,Kilsallagh,,Mayo,F28 FW70,https://www.mescanbrewery.com/,3.54E+11,3/26/2021,3/26/2021,Ireland,9.73047,53.7471934,
rother-valley-brewing-rye,Rother Valley Brewing Company,micro,Station Road,,,Rye,,East Sussex,TN31 6QT,www.rothervalleybrewery.co.uk,1797252922,12/30/2020,12/30/2020,England,0.613983,51.008565,
three-legs-brewing-rye,The Three Legs Brewing Co,taproom,Udimore Road,,,Rye,,East Sussex,TN31 6BX,http://www.thethreelegs.co.uk/,7939997622,12/30/2020,12/30/2020,England,0.611331,50.945341,
filo-brewing-hastings,The FILO Brewing Co Ltd,micro,Old London Road,,,Hastings,,East Sussex,TN34 3HA,http://www.filobrewing.co.uk/,1424420212,12/30/2020,12/30/2020,England,0.596217,50.860814,
brewing-brothers-hastings,Brewing Brothers Ltd,brewpub,Queens Road,,,Hastings,,East Sussex,TN34 1RL,https://brewingbrothers.org/,7985505810,12/30/2020,12/30/2020,England,0.584234,50.860013,
battle-brewery-battle,Battle Brewery,micro,North Trade Road,,,Battle,,East Sussex,TN33 0HN,http://battlebrewery.co.uk/,1424772838,12/30/2020,12/30/2020,England,0.457425,50.916346,
furnace-brook-brewery-hailsham,Furnace Brook Brewery,micro,Trolliloes Lane,,,Hailshame,,East Sussex,BN27 4QR,http://www.quaffale.org.uk/php/brewery/3553,1435830835,12/30/2020,12/30/2020,England,0.318049,50.912028,
beer-me-brewery-eastbourne,Beer Me Brewery,brewpub,Grand Parade,,,Eastbourne,,East Sussex,BN21 3YN,https://beermebrewery.co.uk/,1323729967,12/30/2020,12/30/2020,England,0.291598,50.767006,
gun-brewery-heathfield,Gun Brewery Ltd,micro,Gun Hill,,,Heathfield,,East Sussex,TN21 0JY,https://www.gunbrewery.co.uk/,1323700200,12/30/2020,12/30/2020,England,0.222494,50.899245,
good-things-brewing-tunbridge-wells,Good Things Brewing Co Ltd,micro,Sandhill Lane,,,Tunbridge Wells,,East Sussex,TN3 9LP,https://goodthingsbrewing.co/,1892249012,12/30/2020,12/30/2020,England,0.204763,51.075834,
three-acre-brewery-uckfield,Three Acre Brewery Limited,micro,Beechy Road,,,Uckfield,,East Sussex,TN22 5JG,https://threeacrebrewery.com/,1825891144,12/30/2020,12/30/2020,England,0.161644,50.944538,
long-man-brewery-polegate,The Long Man Brewery,micro,Church Farm,,,Polegate,,East Sussex,BN26 5RA,https://www.longmanbrewery.com/,1323871850,12/30/2020,12/30/2020,England,0.160243,50.799904,
abyss-brewing-uckfield,Abyss Brewing Ltd,micro,Palehouse Common,,,Uckfield,,East Sussex,TN22 5RB,https://abyssbrewing.co.uk/,1825840561,12/30/2020,12/30/2020,England,0.14604,50.945743,
engineer-brewery-uckfield,The Engineer Brewery,micro,Burnt Oak Road,,,Uckfield,,East Sussex,TN22 4AE,http://theengineerbrewery.co.uk/,7841669096,12/30/2020,12/30/2020,England,0.135118,51.019254,
